"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"Y1","ABM8G-25.000MHZ-B4Y-T","Top","FP-ABM8G-MFG","49,8348","30,8864","90","Crystal 25MHz ±30ppm (Tol) ±30ppm (Stability) 10pF FUND 60? 4-Pin SMD T/R"
"U5","MCP6022-I/SN","Top","SOIC-SN8_N","73,6063","25,3975","90","None"
"U3","ADL5602ARKZ-R7","Top","FP-RK-3-MFG","35,5363","18,1620","90","IC AMP CELLULAR 50MHZ-4GHZ SOT89"
"U2","SN74LVC1G86DBVR","Top","FP-DBV0005A-MFG","40,4012","29,7896","270","IC GATE XOR 1CH 2-INP SOT23-5"
"U1","Si5351A-B-GT","Top","SLAB-MSOP-10_N","50,2666","24,9174","270","I2C-Programmable Any-Frequency CMOS Clock Generator + VCXO, 2.5 / 3.3 V, 0.008 to 160 MHz Output, -40 to 85 degC, 10-pin SOP"
"TP8","TPAD6R","Top","TP06R","72,8218","30,7848","180","0.6mm round"
"TP7","TPAD6R","Top","TP06R","69,3420","20,9804","0","0.6mm round"
"TP6","TPAD6R","Top","TP06R","38,1254","16,2814","0","0.6mm round"
"TP5","TPAD6R","Top","TP06R","40,8686","23,8506","90","0.6mm round"
"TP4","TPAD6R","Top","TP06R","37,7698","28,9052","90","0.6mm round"
"TP3","TPAD6R","Top","TP06R","42,9006","31,0896","90","0.6mm round"
"TP2","TPAD6R","Top","TP06R","23,6982","35,3568","90","0.6mm round"
"TP1","TPAD6R","Top","TP06R","26,6446","46,4566","90","0.6mm round"
"R18","RC0402JR-070RL","Top","RESC1005X40X25NL05T10","23,7236","34,2392","90",""
"R17","RC0402JR-070RL","Top","RESC1005X40X25NL05T10","26,7462","47,7774","270",""
"R16","CRCW0402330RFKED","Top","FP-CRCW0402-e3-MFG","43,1546","60,1472","270","RES Thick Film, 330O, 1%, 0.063W, 100ppm/°C, 0402"
"R15","CRCW0402330RFKED","Top","FP-CRCW0402-e3-MFG","51,3334","60,4774","270","RES Thick Film, 330O, 1%, 0.063W, 100ppm/°C, 0402"
"R14","CRCW0402330RFKED","Top","FP-CRCW0402-e3-MFG","47,0154","60,3504","270","RES Thick Film, 330O, 1%, 0.063W, 100ppm/°C, 0402"
"R13","CR0402AFX-1002GAS","Top","FP-CR0402-MFG","77,1623","29,2030","270","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C"
"R12","AF0402FR-0722KL","Top","FP-AF0402-IPC_C","72,5400","21,0058","0","Anti-Sulfurated Chip Resistors Automotive Grade 22kO 1% 100ppm/°C 0402"
"R11","AF0402FR-0722KL","Top","FP-AF0402-IPC_C","70,7366","21,0058","0","Anti-Sulfurated Chip Resistors Automotive Grade 22kO 1% 100ppm/°C 0402"
"R10","CR0402AFX-1002GAS","Top","FP-CR0402-MFG","75,6637","30,4312","270","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C"
"R9","CR0402AFX-1002GAS","Top","FP-CR0402-MFG","74,0918","31,0179","90","Sulfur-Resistant, AEC-Q200 Compliant Chip Resistors 0402 10kO 0.063W 1% 100ppm/°C"
"R8","0402WGF1003TCE","Top","RESC1005X40N","73,4373","29,7155","180","Resistor"
"R7","RC0402FR-0751RL","Top","RESC1005X40X25ML05T10","59,1749","28,6564","90",""
"R6","CRCW0402100RFKEDC","Top","FP-CRCW0402-C-e3-IPC_C","39,9796","33,3502","0","RES 100 OHM 1% 1/16W 0402"
"R4","0402WGF4701TCE","Top","RESC1005X40N","51,5708","33,5788","180","Resistor"
"R3","0402WGF4701TCE","Top","RESC1005X40N","49,0816","33,8074","180","Resistor"
"R2","RC0402JR-070RL","Top","RESC1005X40X25NL05T10","53,8814","24,4856","0",""
"R1","RC0402JR-070RL","Top","RESC1005X40X25NL05T10","46,6424","24,6380","180",""
"Q1","MMBT3904LT1G","Top","ONSC-SOT-23-3-318-08_V","38,8460","23,8414","0","General Purpose Transistor, NPN Silicon, 3-Pin SOT-23, Pb-Free, Tape and Reel"
