"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
27 Mar 2027 06:35:51.882,27 Mar 2027 07:37:13.142,3681.260,24 Mar 2027 03:34:43.147,24 Mar 2027 03:34:52.613,9.466,27 Mar 2027 06:01:36.709,27 Mar 2027 06:35:42.468,2045.759
27 Mar 2027 08:11:37.827,27 Mar 2027 09:12:59.026,3681.200,24 Mar 2027 04:36:16.717,24 Mar 2027 04:36:26.210,9.492,27 Mar 2027 07:37:22.592,27 Mar 2027 08:11:28.411,2045.819
27 Mar 2027 09:47:23.772,27 Mar 2027 10:48:44.911,3681.139,24 Mar 2027 05:10:29.088,24 Mar 2027 05:10:38.553,9.465,27 Mar 2027 09:13:08.475,27 Mar 2027 09:47:14.356,2045.881
27 Mar 2027 11:23:09.716,27 Mar 2027 12:24:30.795,3681.079,24 Mar 2027 06:12:02.596,24 Mar 2027 06:12:12.088,9.491,27 Mar 2027 10:48:54.359,27 Mar 2027 11:23:00.303,2045.944
27 Mar 2027 12:58:55.661,27 Mar 2027 14:00:16.679,3681.018,24 Mar 2027 06:46:15.028,24 Mar 2027 06:46:24.489,9.461,27 Mar 2027 12:24:40.242,27 Mar 2027 12:58:46.252,2046.010
27 Mar 2027 14:34:41.607,27 Mar 2027 15:36:02.564,3680.957,24 Mar 2027 07:47:48.476,24 Mar 2027 07:47:57.966,9.490,27 Mar 2027 14:00:26.126,27 Mar 2027 14:34:32.195,2046.069
27 Mar 2027 16:10:27.549,27 Mar 2027 17:11:48.449,3680.899,24 Mar 2027 08:22:00.969,24 Mar 2027 08:22:10.432,9.463,27 Mar 2027 15:36:12.009,27 Mar 2027 16:10:18.144,2046.134
27 Mar 2027 17:46:13.495,27 Mar 2027 18:47:34.334,3680.838,24 Mar 2027 09:23:34.355,24 Mar 2027 09:23:43.844,9.489,27 Mar 2027 17:11:57.893,27 Mar 2027 17:46:04.088,2046.195
27 Mar 2027 19:21:59.443,27 Mar 2027 20:23:20.218,3680.776,24 Mar 2027 09:57:46.909,24 Mar 2027 09:57:56.369,9.459,27 Mar 2027 18:47:43.777,27 Mar 2027 19:21:50.037,2046.260
27 Mar 2027 20:57:45.388,27 Mar 2027 21:59:06.104,3680.715,24 Mar 2027 10:59:20.234,24 Mar 2027 10:59:29.722,9.488,27 Mar 2027 20:23:29.661,27 Mar 2027 20:57:35.980,2046.319
27 Mar 2027 22:33:31.331,27 Mar 2027 23:34:51.989,3680.658,24 Mar 2027 11:33:32.851,24 Mar 2027 11:33:42.311,9.460,27 Mar 2027 21:59:15.545,27 Mar 2027 22:33:21.930,2046.385
,,,24 Mar 2027 12:35:06.113,24 Mar 2027 12:35:15.601,9.488,27 Mar 2027 23:35:01.430,28 Mar 2027 00:00:00.000,1498.570
,,,24 Mar 2027 13:09:18.791,24 Mar 2027 13:09:28.248,9.457,,,
,,,24 Mar 2027 14:10:51.993,24 Mar 2027 14:11:01.479,9.487,,,
,,,24 Mar 2027 14:45:04.732,24 Mar 2027 14:45:14.188,9.456,,,
,,,24 Mar 2027 15:46:37.872,24 Mar 2027 15:46:47.358,9.486,,,
,,,24 Mar 2027 16:20:50.673,24 Mar 2027 16:21:00.128,9.455,,,
,,,24 Mar 2027 17:22:23.752,24 Mar 2027 17:22:33.237,9.485,,,
,,,24 Mar 2027 17:56:36.615,24 Mar 2027 17:56:46.071,9.457,,,
